__Server,DNS Name,Función,IP Address,Soporte OS,Soporte Aplicaciones
S460-SPS13PDB3,S460-SPS13PDB3.reservas.brrd.com,Intranet SP2013 DB Server,172.22.44.100,GSSD - Web,GSSD - Web
S460-SPS13POWA1,S460-SPS13POWA1.reservas.brrd.com,Intranet SP2013 Office Web Access nodo 1 ,172.22.44.78,GSSD - Web,GSSD - Web
S460-SPS13POWA2,S460-SPS13POWA2.reservas.brrd.com,Intranet SP2013 Office Web Access nodo 2,172.22.44.79,GSSD - Web,GSSD - Web
S460-SPS13PWFE1,S460-SPS13PWFE1.reservas.brrd.com,Intranet SP2013 Front End nodo 1 ,172.22.44.70,GSSD - Web,GSSD - Web
S460-SPS13PWFE2,s460-sps13pwfe2.reservas.brrd.com,Intranet SP2013 Front End nodo 2,172.22.44.71,GSSD - Web,GSSD - Web
S460-SPS13PWFE3,S460-SPS13PWFE3.reservas.brrd.com,Intranet SP2013 Front End nodo 3,172.22.44.72,GSSD - Web,GSSD - Web
S460-SPSS01,S460-SPSS01.reservas.brrd.com,Inteligencia de Negocios SPS modeller,172.22.40.249,GSSD - Web,GSSD - Web
S460-SQLSIS02,S460-SQLSIS02.reservas.brrd.com,SQL Integration Services,172.22.43.214,GSSD - Aplicaciones,DBA SQL
S460-SR01,S460-SR01.reservas.brrd.com,Filial Seguros Reservas - Remote Desktops Server,172.22.43.151,GSSD - Aplicaciones,Filial Seguros
S460-SR02,S460-SR02.reservas.brrd.com,Filial Seguros Reservas - Remote Desktops Server,172.22.44.189,GSSD - Aplicaciones,Filial Seguros
S460-SR03,S460-SR03.reservas.brrd.com,Filial Seguros Reservas - Remote Desktops Server,172.22.44.190,GSSD - Aplicaciones,Filial Seguros
S460-SR04,S460-SR04.reservas.brrd.com,Filial Seguros Reservas - Remote Desktops Server,172.22.44.191,GSSD - Aplicaciones,Filial Seguros
S460-SR05,S460-SR05.reservas.brrd.com,Filiar Seguros Remote Desktops Server,172.22.44.192,GSSD - Aplicaciones,Filial Seguros
S460-SR06,S460-SR06.reservas.brrd.com,Filiar Seguros Remote Desktops Server,172.22.44.193,GSSD - Aplicaciones,Filial Seguros
S460-SR07,S460-SR07.reservas.brrd.com,Filiar Seguros Remote Desktops Server,172.22.44.194,GSSD - Aplicaciones,Filial Seguros
S460-SR08,S460-SR08.reservas.brrd.com,Filiar Seguros Remote Desktops Server,172.22.44.195,GSSD - Aplicaciones,Filial Seguros
S460-SR09,S460-SR09.reservas.brrd.com,Filiar Seguros Remote Desktops Server,172.22.44.196,GSSD - Aplicaciones,Filial Seguros
S460-SRA365WEB1,S460-SRA365WEB1,Filial Seguros Reservas - aplicacion WEB 365,10.0.97.140˜,GSSD - Web,GSSD - Web
S460-SRDFS01,S460-SRDFS01.reservas.brrd.com,Filial Seguros Reservas - DFS nodo 1,172.22.44.156,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-SRDFS02,S460-SRDFS02.reservas.brrd.com,Filiar Seguros DFS nodo 2,172.22.44.157,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-SRMOODLE,S460-SRMOODLE,Filial Seguros Reservas - Moodle Entrenamientos virtuales,10.0.97.70,GSSD - Web,GSSD - Web
S460-SRMRepSA,S460-SRMRepSA,vSphere Replication Appliance,172.22.40.39,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-SRMRepSP,S460-SRMRepSP,vSphere Replication Appliance,172.22.40.38,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-SRMSA,S460-SRMSA,VMware Site Recovery Manager Appliance,172.22.40.215,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-SRMSP,S460-SRMSP,VMware Site Recovery Manager Appliance,172.22.40.214,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-SRPowerBI,S460-SRPowerBI,Seguros Reservas PowerBI Reporting Service,10.0.97.147,GSSD - Aplicaciones,DBA SQL
S460-SRSCAPP01,S460-SRSCAPP01.reservas.brrd.com,Filial - Seguro Sistema SaludCoreSR,172.22.52.103,GSSD - Web,GSSD - Web
S460-SRSCAPP02,S460-SRSCAPP02.reservas.brrd.com,Filial - Seguro Sistema SaludCoreSR,172.22.52.104,GSSD - Web,GSSD - Web
S460-SRSCWEB01,S460-SRSCWEB01.reservas.brrd.com,Filial - Seguro Sistema SaludCoreSR,172.22.52.101,GSSD - Web,GSSD - Web
S460-SRSCWEB02,S460-SRSCWEB02.reservas.brrd.com,Filial - Seguro Sistema SaludCoreSR,172.22.52.102,GSSD - Web,GSSD - Web
S460-SRSISAPP01,S460-SRSISAPP01.reservas.brrd.com,Filial Seguros Reservas - SisApp App Server,172.22.44.233,GSSD - Web,GSSD - Web
S460-SRSISAPP02,S460-SRSISAPP02.reservas.brrd.com,Filial Seguros Reservas - SisApp App Server,172.22.44.234,GSSD - Web,GSSD - Web
S460-SRSISAPP03,S460-SRSISAPP03.extranet.brrd.com,Filial Seguros Reservas SisApp App Server,10.0.81.66,GSSD - Web,GSSD - Web
s460-srsismeap1,S460-SRsismeAP1.reservas.brrd.com,Filial Seguros - SISME (Sistema Integrado de Seguro),172.22.43.88,GSSD - Web,GSSD - Web
s460-srsismeap2,s460-srsismeap2.reservas.brrd.com,Filial Seguros - SISME (Sistema Integrado de Seguro),172.22.43.109,GSSD - Web,GSSD - Web
s460-srsismewb1,S460-SRsismeWB1.reservas.brrd.com,Filial Seguros - SISME (Sistema Integrado de Seguro),172.22.43.26,GSSD - Web,GSSD - Web
s460-srsismewb2,s460-srsismewb2.reservas.brrd.com,Filial Seguros - SISME (Sistema Integrado de Seguro),172.22.43.34,GSSD - Web,GSSD - Web
S460-SRSISWEB01,S460-SRSISWEB01.extranet.brrd.com,Filial Seguros Reservas - SisApp Web Sitio Primario,10.0.99111,GSSD - Web,GSSD - Web
S460-SRSISWEB02,S460-SRSISWEB02.reservas.brrd.com,Filial Seguros Reservas - SisApp Web Sitio Alterno (Sistema Integrado de Seguro),172.22.44.232,GSSD - Web,GSSD - Web
s460-srvxfrng1,s460-srvxfrng1,Fraud Navigator,172.22.46.143˜,GSSD - Aplicaciones,GSSC
s460-srvxfrnv1,s460-srvxfrnv1,Fraud Navigator,172.22.46.141˜,GSSD - Aplicaciones,GSSC
S460-SRWEBINT01,S460-SRWEBINT01.reservas.brrd.com,Filial Seguros Reservas - Servicios WEB Internos del Seguro,172.22.44.247,GSSD - Web,GSSD - Web
S460SSPRO02,S460SSPRO02.reservas.brrd.com,SmartStream App y DB Server Replica,172.22.46.137,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-StorageGTW,S460-StorageGTW.reservas.brrd.com,"""Oracle Cloud NFS Object Storage""",172.22.46.228,GSSD - Aplicaciones,DBA Oracle
S460-SungrdADDM,S460-SungrdADDM.reservas.brrd.com,Sungard ADDM Server,172.22.47.155,GSSD - Aplicaciones,Continuidad TI
S460-SupAssist1,S460-SupAssist1.reservas.brrd.com,Hardware,172.22.31.100,GSSD - Aplicaciones,GSAH
S460-SuperinDB,S460-SuperinDB.reservas.brrd.com,Superin DB Server,172.22.43.219,GSSD - Aplicaciones,DBA SQL
s460-superindb2,s460-superindb2.reservas.brrd.com,Superin DB Server,172.22.43.237˜,GSSD - Aplicaciones,DBA SQL
S460-SwiftAPP01,S460-SwiftAPP01,SWIFT App 1,10.15.15.31,GSSD - Web,GSSD - Web
S460-SwiftAPP02,S460-SwiftAPP02,SWIFT App 2,10.15.15.32,GSSD - Web,GSSD - Web
S460-SwiftAPP03,S460-SwiftAPP03,SWIFT App 1,10.15.15.33,GSSD - Web,GSSD - Web
S460-SWIFTRemot,S460-SWIFTRemot.reservas.brrd.com,SWIFT Escritorio Remoto,10.15.15.30,GSSD - Web,GSSD - Web
S460-SYSEDGEb,S460-SYSEDGEb.reservas.brrd.com,SysEdge - Monitoreo,172.22.43.139,GSSD - Aplicaciones,Monitoreo TI
S460-TABLEAU,S460-TABLEAU.reservas.brrd.com,Tableau,172.22.43.160,GSSD - Aplicaciones,SIG
S460-TCServer,S460-TCServer.reservas.brrd.com,TC Server (Pedro Carrasqueros),172.22.44.222,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TCVOCOM,S460-TCVOCOM.reservas.brrd.com,Turbocobros - Redes,172.22.43.121,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TeamMatDB1,s460-TeamMatDB1.reservas.brrd.com,Aplicacion Auditoria Team Mate DB Server,172.22.44.215,GSSD - Aplicaciones,DBA SQL
S460-TeamMate,S460-TeamMate.reservas.brrd.com,Team Mate (Auditoria),172.22.43.126,GSSD - Aplicaciones,Auditoria
S460-TellAPP00,S460-TellAPP00.reservas.brrd.com,Teller App Server - VS2017 TLS1.2,172.22.49.71,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TellAPP01,S460-TellAPP01.reservas.brrd.com,Teller App Server - VS2017 TLS1.2,172.22.49.72,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TellAPP02,S460-TellAPP02.reservas.brrd.com,Teller App Server - VS2017 TLS1.2,172.22.49.73,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TellAPP03,S460-TellAPP03.reservas.brrd.com,Teller App Server - VS2017 TLS1.2,172.22.49.74,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TellAPP04,S460-TellAPP04.reservas.brrd.com,Teller App Server - VS2017 TLS1.2,172.22.49.75,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TellAPP05,S460-TellAPP05.reservas.brrd.com,Teller App Server - VS2017 TLS1.2,172.22.49.76,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TellAPP06,S460-TellAPP06.reservas.brrd.com,Teller App Server - VS2017 TLS1.2,172.22.49.77,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TellAPP07,S460-TellAPP07.reservas.brrd.com,Teller App Server - VS2017 TLS1.2,172.22.49.78,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TellAPP08,S460-TellAPP08.reservas.brrd.com,Teller App Server - VS2017 TLS1.2,172.22.49.79,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TellAPP09,S460-TellAPP09.reservas.brrd.com,Teller App Server - VS2017 TLS1.2,172.22.49.80,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TellAPP10,S460-TellAPP10.reservas.brrd.com,Teller App Server - VS2017 TLS1.2,172.22.49.81,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TellAPP11,S460-TellAPP11.reservas.brrd.com,Teller App Server - VS2017 TLS1.2,172.22.49.82,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TellAPP12,S460-TellAPP12.reservas.brrd.com,Teller App Server - VS2017 TLS1.2,172.22.49.83,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TellAPP13,S460-TellAPP13.reservas.brrd.com,Teller App Server - VS2017 TLS1.2,172.22.49.84,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TellAPP14,S460-TellAPP14.reservas.brrd.com,Teller App Server - VS2017 TLS1.2,172.22.49.85,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TellAPP15,S460-TellAPP15.reservas.brrd.com,Teller App Server - VS2017 TLS1.2,172.22.49.86,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TellAPP16,S460-TellAPP16.reservas.brrd.com,Teller App Server - VS2017 TLS1.2,172.22.49.87,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TellAPP17,S460-TellAPP17.reservas.brrd.com,Teller App Server - VS2017 TLS1.2,172.22.49.88,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TellAPP18,S460-TellAPP18.reservas.brrd.com,Teller App Server - VS2017 TLS1.2,172.22.49.93,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TellAPP19,S460-TellAPP19.reservas.brrd.com,Teller App Server - VS2017 TLS1.2,172.22.49.94,GSSD - Aplicaciones,GSSD - Aplicaciones
s460-TellAPP20,S460-TellAPP20.reservas.brrd.com,Teller App Server - VS2017 TLS1.2,172.22.49.166,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TellAPP21,S460-TellAPP21.reservas.brrd.com,Teller App Server - VS2017 TLS1.2,172.22.49.167,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TellAPP22,S460-TellAPP22.reservas.brrd.com,Teller App Server - VS2017 TLS1.2,172.22.49.168,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TellAPP23,S460-TellAPP23.reservas.brrd.com,Teller App Server - VS2017 TLS1.2,172.22.49.169,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TellAPP24,S460-TellAPP24.reservas.brrd.com,Teller App Server - VS2017 TLS1.2,172.22.49.170,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TellAPP25,S460-TellAPP25.reservas.brrd.com,Teller App Server - VS2017 TLS1.2,172.22.49.171,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TellAPP26,S460-TellAPP26.reservas.brrd.com,Teller App Server - VS2017 TLS1.2,172.22.49.172,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TellAPP27,S460-TellAPP27.reservas.brrd.com,Teller App Server - VS2017 TLS1.2,172.22.49.173,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TellAPP28,S460-TellAPP28.reservas.brrd.com,Teller App Server - VS2017 TLS1.2,172.22.49.174,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TellAPP29,S460-TellAPP29.reservas.brrd.com,Teller App Server - VS2017 TLS1.2,172.22.49.175,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TELLDB00,S460-TELLDB00.reservas.brrd.com,Base de Datos Teller - Instancia Prod00,172.22.49.36,GSSD - Aplicaciones,DBA SQL
S460-TELLDB01,S460-TELLDB01.reservas.brrd.com,Base de Datos Teller - Instancia Prod01,172.22.49.37,GSSD - Aplicaciones,DBA SQL
S460-TELLDB02,S460-TELLDB02.reservas.brrd.com,Base de Datos Teller - Instancia Prod02,172.22.49.40,GSSD - Aplicaciones,DBA SQL
S460-TELLDB03,S460-TELLDB03.reservas.brrd.com,Base de Datos Teller - Instancia Prod03,172.22.49.45,GSSD - Aplicaciones,DBA SQL
S460-TELLDB04,S460-TELLDB04.reservas.brrd.com,Base de Datos Teller - Instancia Prod04,172.22.49.46,GSSD - Aplicaciones,DBA SQL
S460-TELLDB05,S460-TELLDB05.reservas.brrd.com,Base de Datos Teller - Instancia Prod05,172.22.49.57,GSSD - Aplicaciones,DBA SQL
S460-TELLDB06,S460-TELLDB06.reservas.brrd.com,Base de Datos Teller - Instancia Prod06,172.22.49.58,GSSD - Aplicaciones,DBA SQL
S460-TELLDB07,S460-TELLDB07.reservas.brrd.com,Base de Datos Teller - Instancia Prod07,172.22.49.62,GSSD - Aplicaciones,DBA SQL
S460-TELLDB08,S460-TELLDB08.reservas.brrd.com,Base de Datos Teller - Instancia Prod08,172.22.49.63,GSSD - Aplicaciones,DBA SQL
S460-TELLDB09,S460-TELLDB09.reservas.brrd.com,Base de Datos Teller - Instancia Prod09,172.22.49.64,GSSD - Aplicaciones,DBA SQL
S460-TELLDB10,S460-TELLDB10.reservas.brrd.com,Base de Datos Teller - Instancia Prod10,172.22.49.65,GSSD - Aplicaciones,DBA SQL
S460-TELLDB11,S460-TELLDB11.reservas.brrd.com,Base de Datos Teller - Instancia Prod01,172.22.49.119,GSSD - Aplicaciones,DBA SQL
S460-TELLDB12,S460-TELLDB12.reservas.brrd.com,Base de Datos Teller - Instancia Prod02,172.22.49.121,GSSD - Aplicaciones,DBA SQL
S460-TELLDB13,S460-TELLDB13.reservas.brrd.com,Base de Datos Teller - Instancia Prod03,172.22.49.124,GSSD - Aplicaciones,DBA SQL
S460-TELLDB14,S460-TELLDB14.reservas.brrd.com,Base de Datos Teller - Instancia Prod04,172.22.49.125,GSSD - Aplicaciones,DBA SQL
S460-TELLDB15,S460-TELLDB15.reservas.brrd.com,Base de Datos Teller - Instancia Prod05,172.22.49.129,GSSD - Aplicaciones,DBA SQL
S460-TELLDB16,S460-TELLDB16.reservas.brrd.com,Base de Datos Teller - Instancia Prod06,172.22.49.130,GSSD - Aplicaciones,DBA SQL
S460-TELLDB17,S460-TELLDB17.reservas.brrd.com,Base de Datos Teller - Instancia Prod07,172.22.49.144,GSSD - Aplicaciones,DBA SQL
S460-TELLDB18,S460-TELLDB18.reservas.brrd.com,Base de Datos Teller - Instancia Prod08,172.22.49.148,GSSD - Aplicaciones,DBA SQL
S460-TELLDB19,S460-TELLDB19.reservas.brrd.com,Base de Datos Teller - Instancia Prod09,172.22.49.157,GSSD - Aplicaciones,DBA SQL
S460-TELLDB20,S460-TELLDB20.reservas.brrd.com,Base de Datos Teller - Instancia Prod10,172.22.49.158,GSSD - Aplicaciones,DBA SQL
S460-TELLDB30,S460-TELLDB30.reservas.brrd.com,Base de Datos Teller - Instancia Prod00,172.22.49.66,GSSD - Aplicaciones,DBA SQL
S460-TellerMQ01,S460-TellerMQ01.reservas.brrd.com,Teller Autorizaciones Remotas,172.22.49.241,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TellerMQ02,S460-TellerMQ02.reservas.brrd.com,Teller Autorizaciones Remotas,172.22.49.242,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TellerWK01,s460-tellerwk01.reservas.brrd.com,Teller Clientes -Citrix Worker Server 1,172.22.49.100,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TellerWK02,s460-tellerwk02.reservas.brrd.com,Teller Clientes -Citrix Worker Server 2,172.22.49.111,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TellerWK03,s460-tellerwk03.reservas.brrd.com,Teller Clientes -Citrix Worker Server 3,172.22.49.112,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TellerWK04,s460-tellerwk04.reservas.brrd.com,Teller Clientes -Citrix Worker Server 4,172.22.49.101,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TellerWK05,s460-tellerwk05.reservas.brrd.com,Teller Clientes -Citrix Worker Server 5,172.22.49.111,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TellerWK06,s460-tellerwk06.reservas.brrd.com,Teller Clientes -Citrix Worker Server 6,172.22.49.107,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TellerWK07,s460-tellerwk07.reservas.brrd.com,Teller Clientes -Citrix Worker Server 7,172.22.49.135,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TellerWK08,s460-tellerwk08.reservas.brrd.com,Teller Clientes -Citrix Worker Server 8,172.22.49.111,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TellerWK09,s460-tellerwk09.reservas.brrd.com,Teller Clientes -Citrix Worker Server 9,172.22.49.136,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TellerWK10,s460-tellerwk10.reservas.brrd.com,Teller Clientes -Citrix Worker Server 10,172.22.49.111,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TellerWK11,s460-tellerwk11.reservas.brrd.com,Teller Clientes -Citrix Worker Server 11,172.22.49.111,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TellerWK12,s460-tellerwk12.reservas.brrd.com,Teller Clientes -Citrix Worker Server 12,172.22.49.111,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TellerWK13,s460-tellerwk13.reservas.brrd.com,Teller Clientes -Citrix Worker Server 13,172.22.49.111,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TellerWK14,s460-tellerwk14.reservas.brrd.com,Teller Clientes -Citrix Worker Server 14,172.22.49.105,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TellerWK15,s460-tellerwk15.reservas.brrd.com,Teller Clientes -Citrix Worker Server 15,172.22.49.126,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TellerWK16,s460-tellerwk16.reservas.brrd.com,Teller Clientes -Citrix Worker Server 16,172.22.49.111,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TellerWK17,s460-tellerwk17.reservas.brrd.com,Teller Clientes -Citrix Worker Server 17,172.22.49.111,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TellerWK18,s460-tellerwk18.reservas.brrd.com,Teller Clientes -Citrix Worker Server 18,172.22.49.111,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TellerWK19,s460-tellerwk19.reservas.brrd.com,Teller Clientes -Citrix Worker Server 19,172.22.49.111,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TellerWK20,s460-tellerwk20.reservas.brrd.com,Teller Clientes -Citrix Worker Server 20,172.22.49.118,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TellerWK21,s460-tellerwk21.reservas.brrd.com,Teller Clientes -Citrix Worker Server 21,172.22.49.113,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TellerWK22,s460-tellerwk22.reservas.brrd.com,Teller Clientes -Citrix Worker Server 22,172.22.49.111,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TellerWK23,s460-tellerwk23.reservas.brrd.com,Teller Clientes -Citrix Worker Server 23,172.22.49.115,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TellerWK24,s460-tellerwk24.reservas.brrd.com,Teller Clientes -Citrix Worker Server 24,172.22.49.109,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TellerWK25,s460-tellerwk25.reservas.brrd.com,Teller Clientes -Citrix Worker Server 25,172.22.49.150,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TellerWK26,s460-tellerwk26.reservas.brrd.com,Teller Clientes -Citrix Worker Server 26,172.22.49.111,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TellerWK27,s460-tellerwk27.reservas.brrd.com,Teller Clientes -Citrix Worker Server 27,172.22.49.111,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TellerWK28,s460-tellerwk28.reservas.brrd.com,Teller Clientes -Citrix Worker Server 28,172.22.49.111,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TellerWK29,s460-tellerwk29.reservas.brrd.com,Teller Clientes -Citrix Worker Server 29,172.22.49.116,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TellerWK30,s460-tellerwk30.reservas.brrd.com,Teller Clientes -Citrix Worker Server 30,172.22.49.111,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TellerWK31,s460-tellerwk31.reservas.brrd.com,Teller Clientes - Citrix Worker,DHCP,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TellWK00,S460-TellWK00.reservas.brrd.com,PoC Citrix 7.19 - Worker Teller (Piloto),172.22.49.192,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TellWK01,S460-TellWK01.reservas.brrd.com,PoC Citrix 7.19 - Worker Teller (Plantilla),172.22.49.243,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TellWK02,S460-TellWK02.reservas.brrd.com,PoC Citrix 7.19 - Worker Teller (Plantilla),172.22.49.244,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TellWK03,S460-TellWK03.reservas.brrd.com,PoC Citrix 7.19 - Worker Teller (Plantilla),172.22.49.245,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TellWK04,S460-TellWK04.reservas.brrd.com,PoC Citrix 7.19 - Worker Teller (Plantilla),172.22.49.246,GSSD - Aplicaciones,GSSD - Aplicaciones
s460-threatcenter,s460-threatcenter,MISP - Inteligencia de Amenazas - Seguridad de la Informaci›n,172.22.61.189,GSSD - Aplicaciones,Ciberseguridad
S460-TivoliApm1,s460-tivoliapm1,Monitoreo - APM Tivoli,172.22.43.89,GSSD - Aplicaciones,Monitoreo TI
S460TIVOLI-APP,S460TIVOLI-APP.reservas.brrd.com,Tivoli App ,172.22.43.132,GSSD - Aplicaciones,Monitoreo TI
S460TIVOLI-DB,S460TIVOLI-DB.reservas.brrd.com,Tivoli DB - Base de Datos DB2,172.22.43.133,GSSD - Aplicaciones,DBA SQL
S460-TivoliRpt1,s460-tivolirpt1,Monitoreo - Aplication Tivoli,172.22.43.213,GSSD - Aplicaciones,Monitoreo TI
S460-TokenApp01,s460-tokenapp01.extranet.brrd.com,Token App Server,10.0.98.11,GSSD - Web,GSSD - Web
S460-TokenApp02,S460-TokenApp02.extranet.brrd.com,Token App Server,10.0.81.88,GSSD - Web,GSSD - Web
S460-TokenApp03,S460-TokenApp03.extranet.brrd.com,Token App Server,10.0.98.54,GSSD - Web,GSSD - Web
S460-TokenApp04,S460-TokenApp04.extranet.brrd.com,Token App Server,10.0.98.55,GSSD - Web,GSSD - Web
S460-TokenApp05,S460-TokenApp05.extranet.brrd.com,Token App Server,10.0.98.56,GSSD - Web,GSSD - Web
S460-TokenApp06,S460-TokenApp06.extranet.brrd.com,Token App Server,10.0.98.57,GSSD - Web,GSSD - Web
S460-TokenLDAP,S460-TokenLDAP,Token LDAP connector,10.0.81.86,GSSD - Web,GSSD - Web
S460-TRQbooks,S460-TRQBooks.reservas.brrd.com,Filial_Tenedora - QuickBooks Reservas / Voluntariado Reservas,172.22.44.141,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TrxHub01,s460-trxhub01,Transfer Hub (Seguridad Infraestructura),172.22.61.51,GSSD - Aplicaciones,Ciberseguridad
S460-TSCAL,S460-TSCAL.reservas.brrd.com,Licencias Terminal Service,172.22.43.127,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-TuBanApp1,S460-TuBanApp1.extranet.brrd.com,TuBanco App Server,10.0.81.97,GSSD - Web,GSSD - Web
S460-TuBanApp2,S460-TuBanApp2.extranet.brrd.com,TuBanco App Server,10.0.81.98,GSSD - Web,GSSD - Web
S460-TuBanApp3,S460-TuBanApp3.extranet.brrd.com,TuBanco App Server,10.0.81.99,GSSD - Web,GSSD - Web
S460-TuBanApp4,S460-TuBanApp4.extranet.brrd.com,TuBanco App Server,10.0.81.100,GSSD - Web,GSSD - Web
S460-TuBanApp5,S460-TuBanApp5.extranet.brrd.com,TuBanco App Server,10.0.81.100,GSSD - Web,GSSD - Web
S460-TuBanApp6,S460-TuBanApp6.extranet.brrd.com,TuBanco App Server,10.0.81.100,GSSD - Web,GSSD - Web
S460-TuBanBO1,S460-TuBanBO1.reservas.brrd.com,TuBanco BackOffice,172.22.47.77,GSSD - Web,GSSD - Web
S460-TuBanBO2,S460-TuBanBO2.reservas.brrd.com,TuBanco BackOffice,172.22.47.78,GSSD - Web,GSSD - Web
S460-TuBancoDB1,S460-TUBANCODB1.extranet.brrd.com,TuBanco DB Server,10.0.80.21,GSSD - Web,GSSD - Web
S460-TuBancoDB2,S460-TUBANCODB2.extranet.brrd.com,TuBanco DB Server,10.0.80.22,GSSD - Web,GSSD - Web
S460-TuBancoDB3,S460-TuBancoDB3.extranet.brrd.com,TuBanco DB Server,10.0.80.23,GSSD - Web,GSSD - Web
S460-TuBancoDBW,S460-TuBancoDBW.extranet.brrd.com,TuBanco DB Server,10.0.80.33,GSSD - Web,GSSD - Web
S460-TuBanWeb1,S460-TuBanWeb1.extranet.brrd.com,TuBanco Web Server,10.0.99.115,GSSD - Web,GSSD - Web
S460-TuBanWeb2,S460-TuBanWeb2.extranet.brrd.com,TuBanco Web Server,10.0.99.116,GSSD - Web,GSSD - Web
S460-TuBanWeb3,S460-TuBanWeb3.extranet.brrd.com,TuBanco Web Server,10.0.99.117,GSSD - Web,GSSD - Web
S460-TuBanWeb4,S460-TuBanWeb4.extranet.brrd.com,TuBanco Web Server,10.0.99.118,GSSD - Web,GSSD - Web
S460-TuBanWeb5,S460-TuBanWeb5.extranet.brrd.com,TuBanco Web Server,10.0.81.100,GSSD - Web,GSSD - Web
S460-TuBanWeb6,S460-TuBanWeb6.extranet.brrd.com,TuBanco Web Server,10.0.81.100,GSSD - Web,GSSD - Web
S460-UIM,S460-UIM.reservas.brrd.com,Monitoreo,172.22.43.175,GSSD - Aplicaciones,Monitoreo TI
