__Server,DNS Name,Función,IP Address,Soporte OS,Soporte Aplicaciones
S460-PanoraZ02,PanoramaZ02,Panorama Sitio Primario,192.168.122.1,GSSD - Aplicaciones,Ciberseguridad
S460-ParqueoDB,S460-ParqueoDB.reservas.brrd.com,"Servidor Standalone, APP-DB, sistema de faturacion del Parqueo","fe80::d540:ca35:ea38:e660, 169.254.230.96",GSSD - Aplicaciones,DBA SQL
S460-PayBank02,S460-PayBank02.reservas.brrd.com,Servidor de PayBank para transferencias ACH,172.22.43.135,GSSD - Aplicaciones,GPED
S460-PayBankDB,S460-PayBankDB.reservas.brrd.com,Servidor de PayBank para transferencias ACH (Migracion),172.22.47.209,GSSD - Aplicaciones,DBA SQL
S460-PCloudLCM,s460-pcloudlcm.reservas.brrd.com,VMware vRealize Suite Life Cycle Manager Appliance,172.22.40.35,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-PCloudRAIDM,s460-pcloudraidm.reservas.brrd.com,vRealize Automation Identity Manager,172.22.40.34,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-PCloudVRA,s460-pcloudvra.reservas.brrd.com,vRealize Automation,172.22.40.36,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-PerCentCON,S460-PERCENTCON.reservas.brrd.com,Performance Center,172.22.43.97,GSSD - Aplicaciones,Telecomunicaciones
S460-PerfCenDA01,s460-perfcenda01,Monitoreo Performance Monitor,172.22.43.234,GSSD - Aplicaciones,Telecomunicaciones
S460-PerfCenNFA,S460-PerfCenNFA.reservas.brrd.com,Monitoreo Performance Monitor,172.22.43.248,GSSD - Aplicaciones,Telecomunicaciones
S460-PerfCentDC01,s460-perfcentdc01,Monitoreo Performance Monitor,172.22.43.242,GSSD - Aplicaciones,Telecomunicaciones
S460-PerfCentDR01,s460-perfcentdr01,Monitoreo Performance Monitor,172.22.43.246,GSSD - Aplicaciones,Telecomunicaciones
S460-PerfCenter01,s460-perfcenter01,Monitoreo Performance Monitor,172.22.43.232,GSSD - Aplicaciones,Telecomunicaciones
S460-PrintSvr01,S460-PrintSvr01.reservas.brrd.com,Print Server Nodo1 (Dusa),172.22.47.75,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-PrintSvr02,S460-PrintSvr02.reservas.brrd.com,Print Server Nodo2 (Dusa),172.22.47.76,GSSD - Aplicaciones,GSSD - Aplicaciones
s460-ProAut,S460-ProAut.reservas.brrd.com,Osquestador entre Service Catalog y Service Desk,172.22.43.49,GSSD - Aplicaciones,Mesa de Servicios
